Year;Biofuels (TWh);Hydropower (TWh);Wind Power (TWh);Heat Pumps (TWh);Solar Energy (TWh);Total (TWh);Stat Transfer to Norway (TWh);Renewable Energy in Target Calculation (TWh);Total Energy Use (TWh)
2021;134;67;29;19;2;250;0;250;409
2020;131;67;25;18;1;241;3;238;396
2019;126;67;21;18;1;232;6;226;406
2018;124;66;18;17;1;226;5;221;410
2017;126;66;17;16;0;226;5;220;412
2016;123;66;16;16;0;221;5;216;410
2015;118;67;14;14;0;213;4;209;401
2014;113;65;11;14;0;204;3;201;394
2013;114;68;9;14;0;205;2;203;406
2012;115;69;7;14;0;205;0;205;414
2011;108;69;5;14;0;196;0;196;411
2010;114;68;3;11;0;197;0;197;427
2009;104;68;3;11;0;186;0;186;395
2008;101;67;2;10;0;180;0;180;409
2007;100;69;1;9;0;179;0;179;415
2006;95;68;1;8;0;172;0;172;411
2005;89;68;1;7;0;165;0;165;413
